input_name,brand_name,labeler_name,ndc11,ndc_description,pricing_unit,nadac_per_unit_2025,nadac_per_unit_2024,nadac_per_unit_2023,nadac_per_unit_2022
adalimumab,Adalimumab-adbm,"Boehringer Ingelheim Pharmaceuticals, Inc.",00597058589,,,,,,
adalimumab,Simlandi,"Teva Pharmaceuticals USA, Inc.",51759052321,,,,,,
adalimumab,Adalimumab-adbm,"Boehringer Ingelheim Pharmaceuticals, Inc.",00597059520,,,,,,
adalimumab,,AbbVie Inc.,00074111700,,,,,,
adalimumab,,"SAMSUNG BIOLOGICS Co., Ltd.",71124002300,,,,,,
adalimumab,,AbbVie Inc.,00074111500,,,,,,
adalimumab,,AbbVie Inc.,00074186799,,,,,,
adalimumab,Humira,AbbVie Inc.,00074379902,HUMIRA 40 MG/0.8 ML SYRINGE,EA,3371.02521,3361.23071,3370.96704,3121.26578
adalimumab,,"SAMSUNG BIOLOGICS Co., Ltd.",71124002700,,,,,,
adalimumab,,AbbVie Inc.,00074233000,,,,,,
adalimumab,Humira,AbbVie Inc.,00074012401,,,,,,
adalimumab,Humira,AbbVie Inc.,00074012402,HUMIRA(CF) PEN 80 MG/0.8 ML,EA,6731.55667,6728.00209,6721.87900,
adalimumab,Humira,AbbVie Inc.,00074012403,HUMIRA(CF) PEN CROHN'S-UC-HS STARTER 80 MG/0.8 ML,EA,6745.42800,6692.61151,,
adalimumab,Humira,AbbVie Inc.,00074012404,,,,,,
adalimumab,Humira,AbbVie Inc.,00074012474,,,,,,
adalimumab,AMJEVITA,Nuvaila Limited,84612039901,,,,,,
adalimumab,,Lonza Biologics Tuas Pte Ltd.,69438000902,,,,,,
adalimumab,ABRILADA,Pfizer Laboratories Div Pfizer Inc,00069033302,,,,,,
adalimumab,AMJEVITA,Nuvaila Limited,84612047901,,,,,,
adalimumab,AMJEVITA,Nuvaila Limited,84612047902,,,,,,
adalimumab,,Lonza Biologics Tuas Pte Ltd.,69438001002,,,,,,
adalimumab,AMJEVITA,Nuvaila Limited,84612048101,,,,,,
adalimumab,AMJEVITA,Nuvaila Limited,84612048102,,,,,,
adalimumab,AMJEVITA,Nuvaila Limited,84612048201,,,,,,
adalimumab,AMJEVITA,Nuvaila Limited,84612048202,,,,,,
adalimumab,Cyltezo,"Boehringer Ingelheim Pharmaceuticals, Inc.",00597037045,,,,,,
adalimumab,Cyltezo,"Boehringer Ingelheim Pharmaceuticals, Inc.",00597037082,,,,,,
adalimumab-aacf,Idacio,"Fresenius Kabi USA, LLC",65219055428,,,,,,
adalimumab-aacf,Idacio,"Fresenius Kabi USA, LLC",65219055438,,,,,,
adalimumab-aacf,IDACIO,"Fresenius Kabi USA, LLC",65219055808,,,,,,
adalimumab-aaty,,"CELLTRION, Inc",32228000901,,,,,,
adalimumab-aaty,,"CELLTRION, Inc",32228000601,,,,,,
adalimumab-aaty,,"CELLTRION, Inc",32228000701,,,,,,
adalimumab-aaty,,"CELLTRION, Inc",32228000801,,,,,,
adalimumab-aaty,,"CELLTRION, Inc",32228001001,,,,,,
adalimumab-aaty,Yuflyma,"CELLTRION USA, Inc.",72606002301,,,,,,
adalimumab-aaty,Yuflyma,"CELLTRION USA, Inc.",72606002302,,,,,,
adalimumab-aaty,Yuflyma,"CELLTRION USA, Inc.",72606002303,,,,,,
adalimumab-aaty,Yuflyma,"CELLTRION USA, Inc.",72606002304,,,,,,
adalimumab-aaty,Yuflyma,"CELLTRION USA, Inc.",72606002305,,,,,,
adalimumab-aaty,Yuflyma,"CELLTRION USA, Inc.",72606002307,,,,,,
adalimumab-aaty,Yuflyma,"CELLTRION USA, Inc.",72606002308,,,,,,
adalimumab-aaty,Adalimumab,"CELLTRION USA, Inc.",72606002201,,,,,,
adalimumab-aaty,Adalimumab,"CELLTRION USA, Inc.",72606002202,,,,,,
adalimumab-aaty,Adalimumab,"CELLTRION USA, Inc.",72606002203,,,,,,
adalimumab-aaty,Adalimumab,"CELLTRION USA, Inc.",72606002204,,,,,,
adalimumab-aaty,Adalimumab,"CELLTRION USA, Inc.",72606002205,,,,,,
adalimumab-aaty,Adalimumab,"CELLTRION USA, Inc.",72606002206,,,,,,
adalimumab-aaty,Adalimumab,"CELLTRION USA, Inc.",72606002207,,,,,,
adalimumab-aaty,Adalimumab,"CELLTRION USA, Inc.",72606002208,,,,,,
adalimumab-aaty,Adalimumab,"CELLTRION USA, Inc.",72606002209,,,,,,
adalimumab-aaty,Adalimumab,"CELLTRION USA, Inc.",72606002210,,,,,,
adalimumab-aaty,Adalimumab,"CELLTRION USA, Inc.",72606002211,,,,,,
adalimumab-aaty,Adalimumab,"CELLTRION USA, Inc.",72606002212,,,,,,
adalimumab-aaty,Yuflyma,"CELLTRION USA, Inc.",72606002401,,,,,,
adalimumab-aaty,Yuflyma,"CELLTRION USA, Inc.",72606003001,,,,,,
adalimumab-aaty,Yuflyma,"CELLTRION USA, Inc.",72606003002,,,,,,
adalimumab-aaty,Yuflyma,"CELLTRION USA, Inc.",72606003003,,,,,,
adalimumab-aaty,Yuflyma,"CELLTRION USA, Inc.",72606003004,,,,,,
adalimumab-aaty,Yuflyma,"CELLTRION USA, Inc.",72606003005,,,,,,
adalimumab-aaty,Yuflyma,"CELLTRION USA, Inc.",72606003006,,,,,,
adalimumab-aaty,Yuflyma,"CELLTRION USA, Inc.",72606003007,,,,,,
adalimumab-aaty,Yuflyma,"CELLTRION USA, Inc.",72606003008,,,,,,
adalimumab-aaty,Yuflyma,"CELLTRION USA, Inc.",72606003009,,,,,,
adalimumab-aaty,Yuflyma,"CELLTRION USA, Inc.",72606003010,,,,,,
adalimumab-aaty,Yuflyma,"CELLTRION USA, Inc.",72606003011,,,,,,
adalimumab-aaty,Yuflyma,"CELLTRION USA, Inc.",72606003012,,,,,,
adalimumab-aaty,Yuflyma,"CELLTRION USA, Inc.",72606003013,,,,,,
adalimumab-aaty,Yuflyma,"CELLTRION USA, Inc.",72606003014,,,,,,
adalimumab-aaty,Adalimumab,"CELLTRION USA, Inc.",72606004101,,,,,,
adalimumab-aaty,Yuflyma,"CELLTRION USA, Inc.",72606003901,,,,,,
adalimumab-aaty,Adalimumab,"CELLTRION USA, Inc.",72606004001,,,,,,
adalimumab-aaty,Adalimumab,"CELLTRION USA, Inc.",72606004002,,,,,,
adalimumab-aaty,Adalimumab,"CELLTRION USA, Inc.",72606004003,,,,,,
adalimumab-aaty,Adalimumab,"CELLTRION USA, Inc.",72606004004,,,,,,
adalimumab-aaty,Adalimumab,"CELLTRION USA, Inc.",72606004005,,,,,,
adalimumab-aaty,Adalimumab,"CELLTRION USA, Inc.",72606004006,,,,,,
adalimumab-aaty,Yuflyma,"CELLTRION USA, Inc.",72606004601,,,,,,
adalimumab-aaty,Yuflyma,"CELLTRION USA, Inc.",72606006301,,,,,,
adalimumab-adaz,,Novartis Pharmaceuticals Corporation,00078132909,,,,,,
adalimumab-adaz,HYRIMOZ,Cordavis Limited,83457010101,,,,,,
adalimumab-adaz,HYRIMOZ,Cordavis Limited,83457010001,,,,,,
adalimumab-adaz,HYRIMOZ,Cordavis Limited,83457010201,,,,,,
adalimumab-adaz,HYRIMOZ,Cordavis Limited,83457010301,,,,,,
adalimumab-adaz,HYRIMOZ,Cordavis Limited,83457010701,,,,,,
adalimumab-adaz,HYRIMOZ,Cordavis Limited,83457010801,,,,,,
adalimumab-adaz,HYRIMOZ,Cordavis Limited,83457011201,,,,,,
adalimumab-adaz,HYRIMOZ,Cordavis Limited,83457011301,,,,,,
adalimumab-adaz,Adalimumab,Sandoz Inc,61314032720,ADALIMUMAB-ADAZ(CF) PEN 40 MG/0.4 ML,ML,1592.35758,1590.28426,,
adalimumab-adaz,Adalimumab,Sandoz Inc,61314032764,,,,,,
adalimumab-adaz,Adalimumab,Sandoz Inc,61314032520,,,,,,
adalimumab-adaz,Adalimumab,Sandoz Inc,61314039164,,,,,,
adalimumab-adaz,Adalimumab,Sandoz Inc,61314033264,,,,,,
adalimumab-adaz,HYRIMOZ,Sandoz Inc,61314047664,,,,,,
adalimumab-adaz,HYRIMOZ,Sandoz Inc,61314045420,,,,,,
adalimumab-adaz,HYRIMOZ,Sandoz Inc,61314045436,,,,,,
adalimumab-adaz,HYRIMOZ,Sandoz Inc,61314045468,,,,,,
adalimumab-adaz,HYRIMOZ,Sandoz Inc,61314047320,,,,,,
adalimumab-adaz,HYRIMOZ,Sandoz Inc,61314047364,,,,,,
adalimumab-adaz,HYRIMOZ,Sandoz Inc,61314047392,,,,,,
adalimumab-adaz,HYRIMOZ,Sandoz Inc,61314053164,,,,,,
adalimumab-adaz,HYRIMOZ,Sandoz Inc,61314050964,,,,,,
adalimumab-adaz,HYRIMOZ,Sandoz Inc,61314051736,,,,,,
adalimumab-adbm,Cyltezo,"Boehringer Ingelheim Pharmaceuticals, Inc.",00597037548,,,,,,
adalimumab-adbm,Cyltezo,"Boehringer Ingelheim Pharmaceuticals, Inc.",00597037597,CYLTEZO(CF) PEN 40 MG/0.8 ML,EA,3200.16786,3202.80750,,
adalimumab-adbm,Cyltezo,"Boehringer Ingelheim Pharmaceuticals, Inc.",00597040089,,,,,,
adalimumab-adbm,Cyltezo,"Boehringer Ingelheim Pharmaceuticals, Inc.",00597040580,,,,,,
adalimumab-adbm,Adalimumab-adbm,QUALLENT PHARMACEUTICALS HEALTH LLC,82009014422,ADALIMUMAB-ADBM(CF) PEN 40 MG/0.4 ML,EA,636.03667,,,
adalimumab-adbm,Adalimumab-adbm,QUALLENT PHARMACEUTICALS HEALTH LLC,82009014622,,,,,,
adalimumab-adbm,Adalimumab-adbm,QUALLENT PHARMACEUTICALS HEALTH LLC,82009014822,,,,,,
adalimumab-adbm,Adalimumab-adbm,QUALLENT PHARMACEUTICALS HEALTH LLC,82009015022,,,,,,
adalimumab-adbm,Cyltezo,"Boehringer Ingelheim Pharmaceuticals, Inc.",00597048520,,,,,,
adalimumab-adbm,Cyltezo,"Boehringer Ingelheim Pharmaceuticals, Inc.",00597049550,,,,,,
adalimumab-adbm,Adalimumab-adbm,"Boehringer Ingelheim Pharmaceuticals, Inc.",00597054522,,,,,,
adalimumab-adbm,Adalimumab-adbm,"Boehringer Ingelheim Pharmaceuticals, Inc.",00597055580,,,,,,
